"ID","NAME","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"165","SUPERLITEmix PRO HT + Additives","1","0","","2018/9/28 18:10:54.3800000","1","2017/9/28 18:10:54.3800000","9999/12/31 23:59:59.9970000"
"166","SUPERLITEmix PRO + Additives","1","0","","2018/9/28 18:10:54.3970000","1","2017/9/28 18:10:54.3970000","9999/12/31 23:59:59.9970000"
"167","SURFACEmix LW (SK) + Additives","1","0","","2018/9/28 18:10:54.4270000","1","2017/9/28 18:10:54.4270000","9999/12/31 23:59:59.9970000"
"168","SURFACEmix LW PRO (SK) + Additives","1","0","","2018/9/28 18:10:54.4430000","1","2017/9/28 18:10:54.4430000","9999/12/31 23:59:59.9970000"
"169","SURFACEmix PRO + Additives","1","0","","2018/9/28 18:10:54.4600000","1","2017/9/28 18:10:54.4570000","9999/12/31 23:59:59.9970000"
"170","SURFACEmix PRO SL + Additives","1","0","","2018/9/28 18:10:54.4700000","1","2017/9/28 18:10:54.4700000","9999/12/31 23:59:59.9970000"
"171","SURFACEmix SLW + Additives","1","0","","2018/9/28 18:10:54.4870000","1","2017/9/28 18:10:54.4870000","9999/12/31 23:59:59.9970000"
"172","SurfLite (SK) + Additives","1","0","","2018/9/28 18:10:54.5000000","1","2017/9/28 18:10:54.5000000","9999/12/31 23:59:59.9970000"
"173","Thermal 40 + Additives","1","0","","2018/9/28 18:10:54.5170000","1","2017/9/28 18:10:54.5130000","9999/12/31 23:59:59.9970000"
"174","Thermal 40 EXP + Additives","1","0","","2018/9/28 18:10:54.5330000","1","2017/9/28 18:10:54.5330000","9999/12/31 23:59:59.9970000"
"175","THERMAmix EC + Additives","1","0","","2018/9/28 18:10:54.5500000","1","2017/9/28 18:10:54.5500000","9999/12/31 23:59:59.9970000"
