"ID","NAME","DESCRIPTION","PRODUCT_ID","PRODUCT_NAME","BLEND_RECIPE_ID","BLEND_RECIPE_NAME","IS_BASE_BLEND_ELIGIBLE","BLEND_FLUID_TYPE_ID","BLEND_FLUID_TYPE_NAME","IS_ADDITIVE_ELIGIBLE","ADDITIVE_TYPE_ID","ADDITIVE_TYPE_NAME","SPECIFIC_GRAVITY","MIX_WATER","YIELD","DENSITY","IS_THIXOTROPIC","BAGSIZE","AERCODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_PRI_CAT_ID","BLEND_PRI_CAT_NAME"
"281","SUPERLITEmix PRO X","","285","SUPERLITEmix PRO X","200","SUPERLITEmix PRO X","1","271","SUPERLITEmix PRO X","0","","","1.4634","","1.509","1200","0","","42","1","0","","2018/9/28 18:10:47.2100000","1","2017/9/28 18:10:47.2100000","9999/12/31 23:59:59.9970000","1","Cementing Blend"
"282","SUPERLITEmix PRO X + Additives","","286","SUPERLITEmix PRO X + Additives","201","SUPERLITEmix PRO X + Additives","0","","","0","","","","","","","0","","","1","0","","2018/9/28 18:10:47.2170000","1","2017/9/28 18:10:47.2170000","9999/12/31 23:59:59.9970000","",""
"284","Visweep","","287","Visweep","216","Visweep","1","53","Visweep","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.2470000","1","2017/9/28 18:10:47.2470000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"285","Water Wet Max","","288","Water Wet Max","217","Water Wet Max","1","252","Water Wet Max","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.2930000","1","2017/9/28 18:10:47.2900000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"286","Invert Spacer","","289","Invert Spacer","218","Invert Spacer","1","55","Invert Spacer","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.3430000","1","2017/9/28 18:10:47.3430000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"287","Mud Flush","","290","Mud Flush","219","Mud Flush","1","249","Mud Flush","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.3530000","1","2017/9/28 18:10:47.3500000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"288","Indicator Dye","","291","Indicator Dye","","","1","248","Indicator Dye","0","68","Indicator Dye","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.3630000","1","2017/9/28 18:10:47.3630000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"289","Wellseal G","","292","Wellseal G","","","1","272","Wellseal G","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.3870000","1","2017/9/28 18:10:47.3870000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"290","Wellseal","","293","Wellseal","220","Wellseal","1","52","Wellseal","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.4100000","1","2017/9/28 18:10:47.4100000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"291","RP-20","","294","RP-20 Cement Preflush","221","RP-20","1","251","RP-20","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.4230000","1","2017/9/28 18:10:47.4230000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
